0,1,2,3,4,5,6,7,8
-54.0,-63.0,-63.0,-73.0,-78.0,-76.0,1.0,1.0,2.0
-48.0,-67.0,-65.0,-76.0,-79.0,-75.0,1.0,1.0,2.0
-52.0,-57.0,-61.0,-72.0,-74.0,-73.0,1.0,1.0,2.0
-52.0,-56.0,-61.0,-72.0,-75.0,-74.0,1.0,1.0,2.0
-50.0,-57.0,-61.0,-72.0,-75.0,-75.0,1.0,1.0,2.0
-50.0,-59.0,-64.0,-73.0,-76.0,-74.0,1.0,1.0,2.0
-51.0,-68.0,-62.0,-74.0,-76.0,-75.0,1.0,1.0,2.0
-50.0,-62.0,-64.0,-71.0,-76.0,-75.0,1.0,1.0,2.0
-44.0,-60.0,-61.0,-73.0,-73.0,-73.0,1.0,1.0,2.0
-51.0,-60.0,-62.0,-75.0,-76.0,-72.0,1.0,1.0,2.0
-47.0,-63.0,-64.0,-74.0,-77.0,-75.0,1.0,1.0,2.0
-50.0,-60.0,-62.0,-73.0,-74.0,-73.0,1.0,1.0,2.0
-49.0,-57.0,-62.0,-70.0,-76.0,-72.0,1.0,1.0,2.0
-52.0,-61.0,-62.0,-74.0,-76.0,-71.0,1.0,1.0,2.0
-46.0,-61.0,-62.0,-74.0,-77.0,-74.0,1.0,1.0,2.0
-51.0,-63.0,-63.0,-72.0,-76.0,-76.0,1.0,1.0,2.0
-52.0,-62.0,-62.0,-77.0,-73.0,-76.0,1.0,1.0,2.0
-49.0,-64.0,-62.0,-73.0,-76.0,-74.0,1.0,1.0,2.0
-50.0,-58.0,-63.0,-74.0,-78.0,-73.0,1.0,1.0,2.0
-50.0,-61.0,-66.0,-73.0,-76.0,-73.0,1.0,1.0,2.0
-70.0,-61.0,-60.0,-75.0,-73.0,-74.0,1.0,1.0,2.0
-51.0,-61.0,-62.0,-74.0,-73.0,-73.0,1.0,1.0,2.0
-51.0,-60.0,-63.0,-74.0,-76.0,-73.0,1.0,1.0,2.0
-51.0,-63.0,-64.0,-74.0,-75.0,-72.0,1.0,1.0,2.0
-51.0,-61.0,-63.0,-75.0,-75.0,-78.0,1.0,1.0,2.0
-51.0,-60.0,-61.0,-72.0,-73.0,-72.0,1.0,1.0,2.0
-52.0,-62.0,-61.0,-74.0,-76.0,-75.0,1.0,1.0,2.0
-51.0,-60.0,-63.0,-75.0,-75.0,-75.0,1.0,1.0,2.0
-52.0,-58.0,-62.0,-76.0,-76.0,-74.0,1.0,1.0,2.0
-46.0,-61.0,-62.0,-73.0,-75.0,-75.0,1.0,1.0,2.0
-52.0,-63.0,-63.0,-84.0,-70.0,-75.0,2.1,1.0,2.0
-52.0,-57.0,-62.0,-82.0,-71.0,-74.0,2.1,1.0,2.0
-54.0,-58.0,-63.0,-86.0,-71.0,-76.0,2.1,1.0,2.0
-49.0,-54.0,-61.0,-84.0,-70.0,-71.0,2.1,1.0,2.0
-50.0,-56.0,-65.0,-84.0,-69.0,-74.0,2.1,1.0,2.0
-51.0,-52.0,-59.0,-84.0,-68.0,-71.0,2.1,1.0,2.0
-51.0,-55.0,-62.0,-84.0,-70.0,-75.0,2.1,1.0,2.0
-51.0,-58.0,-62.0,-82.0,-72.0,-78.0,2.1,1.0,2.0
-54.0,-57.0,-63.0,-84.0,-72.0,-74.0,2.1,1.0,2.0
-52.0,-56.0,-62.0,-84.0,-70.0,-75.0,2.1,1.0,2.0
-53.0,-59.0,-65.0,-84.0,-74.0,-75.0,2.1,1.0,2.0
-51.0,-59.0,-62.0,-86.0,-72.0,-75.0,2.1,1.0,2.0
-51.0,-57.0,-65.0,-85.0,-68.0,-72.0,2.1,1.0,2.0
-49.0,-56.0,-61.0,-82.0,-69.0,-73.0,2.1,1.0,2.0
-52.0,-59.0,-61.0,-86.0,-69.0,-73.0,2.1,1.0,2.0
-66.0,-57.0,-62.0,-83.0,-68.0,-73.0,2.1,1.0,2.0
-52.0,-56.0,-61.0,-82.0,-71.0,-71.0,2.1,1.0,2.0
-54.0,-57.0,-62.0,-83.0,-69.0,-73.0,2.1,1.0,2.0
-53.0,-58.0,-63.0,-86.0,-73.0,-75.0,2.1,1.0,2.0
-49.0,-51.0,-61.0,-81.0,-68.0,-72.0,2.1,1.0,2.0
-46.0,-56.0,-61.0,-83.0,-70.0,-70.0,2.1,1.0,2.0
-51.0,-59.0,-62.0,-83.0,-70.0,-72.0,2.1,1.0,2.0
-53.0,-60.0,-63.0,-87.0,-73.0,-74.0,2.1,1.0,2.0
-52.0,-58.0,-63.0,-86.0,-70.0,-71.0,2.1,1.0,2.0
-51.0,-56.0,-63.0,-85.0,-69.0,-75.0,2.1,1.0,2.0
-50.0,-57.0,-64.0,-85.0,-73.0,-75.0,2.1,1.0,2.0
-54.0,-58.0,-57.0,-85.0,-74.0,-74.0,2.1,1.0,2.0
-33.0,-59.0,-63.0,-70.0,-74.0,-75.0,3.2,1.0,2.0
-33.0,-59.0,-59.0,-75.0,-69.0,-80.0,3.2,1.0,2.0
-33.0,-58.0,-63.0,-71.0,-71.0,-79.0,3.2,1.0,2.0
-34.0,-59.0,-62.0,-72.0,-70.0,-80.0,3.2,1.0,2.0
-34.0,-62.0,-62.0,-71.0,-70.0,-79.0,3.2,1.0,2.0
-32.0,-60.0,-63.0,-71.0,-71.0,-79.0,3.2,1.0,2.0
-34.0,-59.0,-61.0,-73.0,-83.0,-79.0,3.2,1.0,2.0
-31.0,-57.0,-63.0,-76.0,-71.0,-77.0,3.2,1.0,2.0
-35.0,-61.0,-62.0,-74.0,-71.0,-78.0,3.2,1.0,2.0
-35.0,-61.0,-66.0,-74.0,-74.0,-81.0,3.2,1.0,2.0
-32.0,-59.0,-61.0,-72.0,-68.0,-76.0,3.2,1.0,2.0
-35.0,-59.0,-64.0,-71.0,-70.0,-77.0,3.2,1.0,2.0
-33.0,-59.0,-62.0,-71.0,-71.0,-79.0,3.2,1.0,2.0
-33.0,-57.0,-59.0,-73.0,-70.0,-80.0,3.2,1.0,2.0
-34.0,-61.0,-62.0,-74.0,-71.0,-81.0,3.2,1.0,2.0
-31.0,-58.0,-60.0,-73.0,-69.0,-78.0,3.2,1.0,2.0
