0,1,2,3,4,5,6,7,8
-51.0,-61.0,-63.0,-74.0,-76.0,-72.0,1.0,1.0,2.0
-50.0,-61.0,-63.0,-73.0,-75.0,-74.0,1.0,1.0,2.0
-51.0,-60.0,-70.0,-75.0,-75.0,-74.0,1.0,1.0,2.0
-50.0,-59.0,-62.0,-73.0,-75.0,-74.0,1.0,1.0,2.0
-53.0,-65.0,-65.0,-75.0,-75.0,-74.0,1.0,1.0,2.0
-53.0,-56.0,-63.0,-85.0,-73.0,-72.0,2.1,1.0,2.0
-52.0,-54.0,-63.0,-85.0,-72.0,-73.0,2.1,1.0,2.0
-51.0,-56.0,-63.0,-84.0,-68.0,-74.0,2.1,1.0,2.0
-52.0,-59.0,-64.0,-85.0,-74.0,-74.0,2.1,1.0,2.0
-52.0,-56.0,-64.0,-86.0,-71.0,-75.0,2.1,1.0,2.0
-33.0,-59.0,-62.0,-72.0,-71.0,-77.0,3.2,1.0,2.0
-33.0,-58.0,-61.0,-72.0,-71.0,-80.0,3.2,1.0,2.0
-33.0,-59.0,-64.0,-70.0,-71.0,-78.0,3.2,1.0,2.0
-33.0,-58.0,-63.0,-72.0,-71.0,-78.0,3.2,1.0,2.0
-29.0,-57.0,-60.0,-69.0,-68.0,-75.0,3.2,1.0,2.0
-49.0,-60.0,-67.0,-69.0,-73.0,-76.0,4.3,1.0,2.0
-39.0,-62.0,-71.0,-72.0,-74.0,-77.0,4.3,1.0,2.0
-36.0,-58.0,-70.0,-73.0,-73.0,-75.0,4.3,1.0,2.0
-36.0,-60.0,-69.0,-74.0,-73.0,-74.0,4.3,1.0,2.0
-71.0,-62.0,-70.0,-77.0,-74.0,-74.0,4.3,1.0,2.0
-47.0,-63.0,-60.0,-75.0,-72.0,-74.0,5.4,1.0,2.0
-40.0,-63.0,-58.0,-74.0,-70.0,-75.0,5.4,1.0,2.0
-42.0,-63.0,-60.0,-73.0,-72.0,-76.0,5.4,1.0,2.0
-39.0,-60.0,-58.0,-71.0,-67.0,-72.0,5.4,1.0,2.0
-39.0,-61.0,-59.0,-73.0,-76.0,-73.0,5.4,1.0,2.0
-47.0,-63.0,-60.0,-75.0,-72.0,-74.0,6.5,1.0,2.0
-40.0,-63.0,-58.0,-74.0,-70.0,-75.0,6.5,1.0,2.0
-42.0,-63.0,-60.0,-73.0,-72.0,-76.0,6.5,1.0,2.0
-39.0,-60.0,-58.0,-71.0,-67.0,-72.0,6.5,1.0,2.0
-39.0,-61.0,-59.0,-73.0,-76.0,-73.0,6.5,1.0,2.0
-54.0,-55.0,-60.0,-79.0,-70.0,-73.0,1.0,2.45,2.0
-56.0,-57.0,-66.0,-80.0,-71.0,-76.0,1.0,2.45,2.0
-56.0,-59.0,-61.0,-78.0,-72.0,-75.0,1.0,2.45,2.0
-55.0,-59.0,-57.0,-78.0,-72.0,-75.0,1.0,2.45,2.0
-54.0,-56.0,-58.0,-78.0,-70.0,-74.0,1.0,2.45,2.0
-53.0,-55.0,-66.0,-68.0,-69.0,-86.0,2.1,2.45,2.0
-53.0,-54.0,-65.0,-72.0,-76.0,-86.0,2.1,2.45,2.0
-57.0,-55.0,-64.0,-72.0,-72.0,-85.0,2.1,2.45,2.0
-52.0,-55.0,-64.0,-70.0,-73.0,-85.0,2.1,2.45,2.0
-53.0,-56.0,-63.0,-72.0,-71.0,-85.0,2.1,2.45,2.0
-40.0,-53.0,-61.0,-74.0,-83.0,-70.0,3.2,2.45,2.0
-46.0,-53.0,-60.0,-74.0,-77.0,-71.0,3.2,2.45,2.0
-46.0,-51.0,-59.0,-74.0,-82.0,-70.0,3.2,2.45,2.0
-47.0,-54.0,-62.0,-76.0,-84.0,-72.0,3.2,2.45,2.0
-39.0,-52.0,-63.0,-75.0,-84.0,-73.0,3.2,2.45,2.0
-51.0,-63.0,-61.0,-74.0,-85.0,-74.0,4.3,2.45,2.0
-49.0,-60.0,-58.0,-73.0,-80.0,-73.0,4.3,2.45,2.0
-48.0,-60.0,-59.0,-72.0,-82.0,-72.0,4.3,2.45,2.0
-47.0,-59.0,-58.0,-74.0,-83.0,-74.0,4.3,2.45,2.0
-43.0,-62.0,-68.0,-73.0,-83.0,-68.0,4.3,2.45,2.0
-46.0,-57.0,-65.0,-76.0,-82.0,-70.0,5.4,2.45,2.0
-44.0,-58.0,-66.0,-76.0,-81.0,-71.0,5.4,2.45,2.0
-48.0,-54.0,-63.0,-76.0,-80.0,-67.0,5.4,2.45,2.0
-49.0,-55.0,-65.0,-76.0,-78.0,-67.0,5.4,2.45,2.0
-47.0,-55.0,-62.0,-75.0,-77.0,-68.0,5.4,2.45,2.0
-56.0,-56.0,-53.0,-75.0,-72.0,-77.0,6.5,2.45,2.0
-58.0,-57.0,-52.0,-73.0,-71.0,-75.0,6.5,2.45,2.0
-56.0,-56.0,-55.0,-75.0,-72.0,-78.0,6.5,2.45,2.0
-56.0,-56.0,-56.0,-74.0,-72.0,-77.0,6.5,2.45,2.0
-55.0,-56.0,-53.0,-74.0,-72.0,-78.0,6.5,2.45,2.0
-52.0,-48.0,-60.0,-76.0,-77.0,-78.0,1.0,3.9,2.0
-51.0,-49.0,-61.0,-76.0,-77.0,-78.0,1.0,3.9,2.0
-54.0,-50.0,-60.0,-76.0,-78.0,-78.0,1.0,3.9,2.0
-52.0,-51.0,-61.0,-75.0,-78.0,-78.0,1.0,3.9,2.0
-53.0,-51.0,-63.0,-75.0,-80.0,-81.0,1.0,3.9,2.0
-48.0,-53.0,-62.0,-68.0,-69.0,-70.0,2.1,3.9,2.0
-51.0,-55.0,-63.0,-70.0,-70.0,-72.0,2.1,3.9,2.0
-49.0,-55.0,-62.0,-69.0,-69.0,-71.0,2.1,3.9,2.0
-49.0,-52.0,-60.0,-68.0,-68.0,-69.0,2.1,3.9,2.0
-43.0,-53.0,-61.0,-67.0,-68.0,-68.0,2.1,3.9,2.0
-47.0,-56.0,-54.0,-69.0,-71.0,-76.0,5.4,3.9,2.0
-47.0,-56.0,-59.0,-73.0,-73.0,-76.0,5.4,3.9,2.0
-48.0,-56.0,-56.0,-70.0,-71.0,-78.0,5.4,3.9,2.0
-49.0,-56.0,-57.0,-71.0,-72.0,-77.0,5.4,3.9,2.0
-50.0,-54.0,-57.0,-72.0,-70.0,-78.0,5.4,3.9,2.0
-55.0,-57.0,-54.0,-75.0,-71.0,-73.0,6.5,3.9,2.0
-55.0,-55.0,-55.0,-74.0,-75.0,-73.0,6.5,3.9,2.0
-53.0,-56.0,-57.0,-73.0,-72.0,-72.0,6.5,3.9,2.0
-54.0,-54.0,-54.0,-74.0,-74.0,-71.0,6.5,3.9,2.0
-52.0,-56.0,-56.0,-73.0,-72.0,-71.0,6.5,3.9,2.0
-55.0,-51.0,-62.0,-71.0,-70.0,-69.0,1.0,5.35,2.0
-55.0,-53.0,-63.0,-71.0,-69.0,-72.0,1.0,5.35,2.0
-55.0,-52.0,-62.0,-73.0,-69.0,-71.0,1.0,5.35,2.0
-56.0,-47.0,-61.0,-74.0,-69.0,-74.0,1.0,5.35,2.0
-55.0,-54.0,-64.0,-73.0,-71.0,-71.0,1.0,5.35,2.0
-52.0,-40.0,-69.0,-73.0,-66.0,-81.0,2.1,5.35,2.0
-51.0,-46.0,-69.0,-74.0,-66.0,-81.0,2.1,5.35,2.0
-51.0,-40.0,-71.0,-72.0,-67.0,-80.0,2.1,5.35,2.0
-52.0,-40.0,-69.0,-75.0,-66.0,-80.0,2.1,5.35,2.0
-51.0,-39.0,-71.0,-74.0,-66.0,-80.0,2.1,5.35,2.0
-61.0,-50.0,-61.0,-71.0,-72.0,-64.0,3.2,5.35,2.0
-62.0,-45.0,-67.0,-74.0,-69.0,-66.0,3.2,5.35,2.0
-66.0,-53.0,-62.0,-72.0,-72.0,-66.0,3.2,5.35,2.0
-60.0,-51.0,-62.0,-74.0,-73.0,-65.0,3.2,5.35,2.0
-62.0,-50.0,-61.0,-74.0,-71.0,-66.0,3.2,5.35,2.0
-64.0,-53.0,-54.0,-77.0,-74.0,-71.0,5.4,5.35,2.0
-64.0,-53.0,-54.0,-75.0,-69.0,-71.0,5.4,5.35,2.0
-68.0,-51.0,-52.0,-76.0,-72.0,-68.0,5.4,5.35,2.0
-62.0,-53.0,-53.0,-81.0,-71.0,-68.0,5.4,5.35,2.0
-66.0,-55.0,-55.0,-78.0,-74.0,-74.0,5.4,5.35,2.0
-50.0,-63.0,-57.0,-82.0,-67.0,-69.0,6.5,5.35,2.0
-51.0,-62.0,-57.0,-81.0,-68.0,-71.0,6.5,5.35,2.0
-51.0,-60.0,-58.0,-79.0,-68.0,-70.0,6.5,5.35,2.0
-49.0,-61.0,-56.0,-81.0,-65.0,-70.0,6.5,5.35,2.0
-53.0,-62.0,-55.0,-81.0,-68.0,-70.0,6.5,5.35,2.0
-56.0,-52.0,-54.0,-74.0,-85.0,-69.0,1.0,6.8,2.0
-57.0,-52.0,-58.0,-73.0,-85.0,-69.0,1.0,6.8,2.0
-53.0,-52.0,-57.0,-70.0,-82.0,-66.0,1.0,6.8,2.0
-53.0,-52.0,-56.0,-70.0,-83.0,-68.0,1.0,6.8,2.0
-52.0,-48.0,-55.0,-73.0,-81.0,-67.0,1.0,6.8,2.0
-60.0,-49.0,-64.0,-74.0,-69.0,-73.0,2.1,6.8,2.0
-59.0,-44.0,-65.0,-73.0,-70.0,-72.0,2.1,6.8,2.0
-61.0,-49.0,-64.0,-73.0,-69.0,-75.0,2.1,6.8,2.0
-59.0,-49.0,-60.0,-72.0,-66.0,-75.0,2.1,6.8,2.0
-57.0,-47.0,-64.0,-73.0,-68.0,-72.0,2.1,6.8,2.0
-60.0,-44.0,-59.0,-80.0,-79.0,-74.0,3.2,6.8,2.0
-61.0,-43.0,-54.0,-77.0,-78.0,-71.0,3.2,6.8,2.0
-59.0,-43.0,-58.0,-79.0,-80.0,-73.0,3.2,6.8,2.0
-63.0,-43.0,-59.0,-89.0,-76.0,-76.0,3.2,6.8,2.0
-61.0,-43.0,-55.0,-79.0,-81.0,-75.0,3.2,6.8,2.0
-61.0,-57.0,-55.0,-76.0,-74.0,-76.0,5.4,6.8,2.0
-61.0,-58.0,-55.0,-77.0,-70.0,-78.0,5.4,6.8,2.0
-59.0,-57.0,-54.0,-76.0,-77.0,-78.0,5.4,6.8,2.0
-60.0,-57.0,-53.0,-77.0,-75.0,-78.0,5.4,6.8,2.0
-59.0,-58.0,-54.0,-74.0,-75.0,-79.0,5.4,6.8,2.0
-58.0,-58.0,-49.0,-73.0,-75.0,-66.0,6.5,6.8,2.0
-59.0,-58.0,-44.0,-75.0,-72.0,-66.0,6.5,6.8,2.0
-58.0,-60.0,-51.0,-74.0,-75.0,-67.0,6.5,6.8,2.0
-57.0,-57.0,-51.0,-75.0,-71.0,-67.0,6.5,6.8,2.0
-57.0,-57.0,-50.0,-74.0,-73.0,-67.0,6.5,6.8,2.0
-56.0,-17.0,-55.0,-80.0,-69.0,-70.0,1.0,8.25,2.0
-55.0,-17.0,-55.0,-79.0,-69.0,-68.0,1.0,8.25,2.0
-54.0,-16.0,-53.0,-79.0,-69.0,-69.0,1.0,8.25,2.0
-54.0,-17.0,-54.0,-80.0,-67.0,-70.0,1.0,8.25,2.0
-55.0,-17.0,-53.0,-79.0,-69.0,-69.0,1.0,8.25,2.0
